,left_firstname_phone,left_UID,similarity,right_requestID,right_lastnamePhone
0,"[b'S', None]",961786,0.99999994,CC072982,"[b'S', None]"
1,"[b'S', None]",961786,0.99999994,CC072984,"[b'S', None]"
2,"[b'MHMT', None]",6838390,1.0000001,DD903844,"[b'MHMT', None]"
3,"[b'MHMT', None]",6240586,1.0000001,DD903844,"[b'MHMT', None]"
4,"[b'MHMT', None]",6171073,1.0000001,DD903844,"[b'MHMT', None]"
5,"[b'MHMT', None]",6138028,1.0000001,DD903844,"[b'MHMT', None]"
6,"[b'MHMT', None]",6041516,1.0000001,DD903844,"[b'MHMT', None]"
7,"[b'MHMT', None]",6036380,1.0000001,DD903844,"[b'MHMT', None]"
8,"[b'MHMT', None]",6036223,1.0000001,DD903844,"[b'MHMT', None]"
9,"[b'MHMT', None]",5685849,1.0000001,DD903844,"[b'MHMT', None]"
10,"[b'MHMT', None]",5660177,1.0000001,DD903844,"[b'MHMT', None]"
11,"[b'MHMT', None]",5659878,1.0000001,DD903844,"[b'MHMT', None]"
12,"[b'MHMT', None]",5207785,1.0000001,DD903844,"[b'MHMT', None]"
13,"[b'MHMT', None]",5207782,1.0000001,DD903844,"[b'MHMT', None]"
14,"[b'MHMT', None]",5192485,1.0000001,DD903844,"[b'MHMT', None]"
15,"[b'MHMT', None]",5192418,1.0000001,DD903844,"[b'MHMT', None]"
16,"[b'MHMT', None]",5173869,1.0000001,DD903844,"[b'MHMT', None]"
17,"[b'MHMT', None]",4860385,1.0000001,DD903844,"[b'MHMT', None]"
18,"[b'MHMT', None]",4647298,1.0000001,DD903844,"[b'MHMT', None]"
19,"[b'MHMT', None]",4626770,1.0000001,DD903844,"[b'MHMT', None]"
20,"[b'MHMT', None]",4594452,1.0000001,DD903844,"[b'MHMT', None]"
21,"[b'MHMT', None]",4534670,1.0000001,DD903844,"[b'MHMT', None]"
22,"[b'MHMT', None]",4400920,1.0000001,DD903844,"[b'MHMT', None]"
23,"[b'MHMT', None]",4315555,1.0000001,DD903844,"[b'MHMT', None]"
24,"[b'MHMT', None]",4246054,1.0000001,DD903844,"[b'MHMT', None]"
25,"[b'MHMT', None]",4234960,1.0000001,DD903844,"[b'MHMT', None]"
26,"[b'MHMT', None]",4011786,1.0000001,DD903844,"[b'MHMT', None]"
27,"[b'MHMT', None]",4011785,1.0000001,DD903844,"[b'MHMT', None]"
28,"[b'MHMT', None]",3774011,1.0000001,DD903844,"[b'MHMT', None]"
29,"[b'MHMT', None]",3765651,1.0000001,DD903844,"[b'MHMT', None]"
30,"[b'MHMT', None]",3724083,1.0000001,DD903844,"[b'MHMT', None]"
31,"[b'MHMT', None]",3424149,1.0000001,DD903844,"[b'MHMT', None]"
32,"[b'MHMT', None]",3398580,1.0000001,DD903844,"[b'MHMT', None]"
33,"[b'MHMT', None]",3398567,1.0000001,DD903844,"[b'MHMT', None]"
34,"[b'MHMT', None]",3398544,1.0000001,DD903844,"[b'MHMT', None]"
35,"[b'MHMT', None]",3398543,1.0000001,DD903844,"[b'MHMT', None]"
36,"[b'MHMT', None]",3398535,1.0000001,DD903844,"[b'MHMT', None]"
37,"[b'MHMT', None]",3398533,1.0000001,DD903844,"[b'MHMT', None]"
38,"[b'MHMT', None]",3398526,1.0000001,DD903844,"[b'MHMT', None]"
39,"[b'MHMT', None]",3398518,1.0000001,DD903844,"[b'MHMT', None]"
40,"[b'MHMT', None]",3398513,1.0000001,DD903844,"[b'MHMT', None]"
41,"[b'MHMT', None]",3398503,1.0000001,DD903844,"[b'MHMT', None]"
42,"[b'MHMT', None]",3398484,1.0000001,DD903844,"[b'MHMT', None]"
43,"[b'MHMT', None]",3398472,1.0000001,DD903844,"[b'MHMT', None]"
44,"[b'MHMT', None]",3398462,1.0000001,DD903844,"[b'MHMT', None]"
45,"[b'MHMT', None]",3398459,1.0000001,DD903844,"[b'MHMT', None]"
46,"[b'MHMT', None]",3398457,1.0000001,DD903844,"[b'MHMT', None]"
47,"[b'MHMT', None]",3398450,1.0000001,DD903844,"[b'MHMT', None]"
48,"[b'MHMT', None]",3398424,1.0000001,DD903844,"[b'MHMT', None]"
49,"[b'MHMT', None]",3398420,1.0000001,DD903844,"[b'MHMT', None]"
50,"[b'MHMT', None]",3398419,1.0000001,DD903844,"[b'MHMT', None]"
51,"[b'MHMT', None]",3398417,1.0000001,DD903844,"[b'MHMT', None]"
52,"[b'MHMT', None]",3398413,1.0000001,DD903844,"[b'MHMT', None]"
53,"[b'MHMT', None]",3398409,1.0000001,DD903844,"[b'MHMT', None]"
54,"[b'MHMT', None]",3398406,1.0000001,DD903844,"[b'MHMT', None]"
55,"[b'MHMT', None]",3398385,1.0000001,DD903844,"[b'MHMT', None]"
56,"[b'MHMT', None]",3397947,1.0000001,DD903844,"[b'MHMT', None]"
57,"[b'MHMT', None]",3397930,1.0000001,DD903844,"[b'MHMT', None]"
58,"[b'MHMT', None]",3397820,1.0000001,DD903844,"[b'MHMT', None]"
59,"[b'MHMT', None]",3397819,1.0000001,DD903844,"[b'MHMT', None]"
60,"[b'MHMT', None]",3397808,1.0000001,DD903844,"[b'MHMT', None]"
61,"[b'MHMT', None]",3397805,1.0000001,DD903844,"[b'MHMT', None]"
62,"[b'MHMT', None]",3397799,1.0000001,DD903844,"[b'MHMT', None]"
63,"[b'MHMT', None]",3397779,1.0000001,DD903844,"[b'MHMT', None]"
64,"[b'MHMT', None]",3397776,1.0000001,DD903844,"[b'MHMT', None]"
65,"[b'MHMT', None]",3312038,1.0000001,DD903844,"[b'MHMT', None]"
66,"[b'MHMT', None]",3292320,1.0000001,DD903844,"[b'MHMT', None]"
67,"[b'MHMT', None]",3277046,1.0000001,DD903844,"[b'MHMT', None]"
68,"[b'MHMT', None]",3255518,1.0000001,DD903844,"[b'MHMT', None]"
69,"[b'MHMT', None]",3210311,1.0000001,DD903844,"[b'MHMT', None]"
70,"[b'MHMT', None]",3196142,1.0000001,DD903844,"[b'MHMT', None]"
71,"[b'MHMT', None]",3185084,1.0000001,DD903844,"[b'MHMT', None]"
72,"[b'MHMT', None]",2980720,1.0000001,DD903844,"[b'MHMT', None]"
73,"[b'MHMT', None]",2816735,1.0000001,DD903844,"[b'MHMT', None]"
74,"[b'MHMT', None]",2695799,1.0000001,DD903844,"[b'MHMT', None]"
75,"[b'MHMT', None]",2469718,1.0000001,DD903844,"[b'MHMT', None]"
76,"[b'MHMT', None]",2457960,1.0000001,DD903844,"[b'MHMT', None]"
77,"[b'MHMT', None]",2436804,1.0000001,DD903844,"[b'MHMT', None]"
78,"[b'MHMT', None]",2425963,1.0000001,DD903844,"[b'MHMT', None]"
79,"[b'MHMT', None]",2406859,1.0000001,DD903844,"[b'MHMT', None]"
80,"[b'MHMT', None]",2404241,1.0000001,DD903844,"[b'MHMT', None]"
81,"[b'MHMT', None]",2338054,1.0000001,DD903844,"[b'MHMT', None]"
82,"[b'MHMT', None]",2220962,1.0000001,DD903844,"[b'MHMT', None]"
83,"[b'MHMT', None]",2212935,1.0000001,DD903844,"[b'MHMT', None]"
84,"[b'MHMT', None]",2182530,1.0000001,DD903844,"[b'MHMT', None]"
85,"[b'MHMT', None]",2024669,1.0000001,DD903844,"[b'MHMT', None]"
86,"[b'MHMT', None]",1773380,1.0000001,DD903844,"[b'MHMT', None]"
87,"[b'MHMT', None]",1588216,1.0000001,DD903844,"[b'MHMT', None]"
88,"[b'MHMT', None]",1481088,1.0000001,DD903844,"[b'MHMT', None]"
89,"[b'MHMT', None]",1452147,1.0000001,DD903844,"[b'MHMT', None]"
90,"[b'MHMT', None]",1321431,1.0000001,DD903844,"[b'MHMT', None]"
91,"[b'MHMT', None]",1311163,1.0000001,DD903844,"[b'MHMT', None]"
92,"[b'MHMT', None]",1245617,1.0000001,DD903844,"[b'MHMT', None]"
93,"[b'MHMT', None]",1105877,1.0000001,DD903844,"[b'MHMT', None]"
94,"[b'MHMT', None]",1057384,1.0000001,DD903844,"[b'MHMT', None]"
95,"[b'MHMT', None]",1053045,1.0000001,DD903844,"[b'MHMT', None]"
96,"[b'MHMT', None]",757171,1.0000001,DD903844,"[b'MHMT', None]"
97,"[b'MHMT', None]",705066,1.0000001,DD903844,"[b'MHMT', None]"
98,"[b'MHMT', None]",705058,1.0000001,DD903844,"[b'MHMT', None]"
99,"[b'MHMT', None]",661974,1.0000001,DD903844,"[b'MHMT', None]"
100,"[b'MHMT', None]",640680,1.0000001,DD903844,"[b'MHMT', None]"
101,"[b'MHMT', None]",585571,1.0000001,DD903844,"[b'MHMT', None]"
102,"[b'MHMT', None]",541341,1.0000001,DD903844,"[b'MHMT', None]"
103,"[b'MHMT', None]",280480,1.0000001,DD903844,"[b'MHMT', None]"
104,"[b'MHMT', None]",256022,1.0000001,DD903844,"[b'MHMT', None]"
105,"[b'MHMT', None]",227451,1.0000001,DD903844,"[b'MHMT', None]"
106,"[b'MHMT', None]",208539,1.0000001,DD903844,"[b'MHMT', None]"
107,"[b'MHMT', None]",148019,1.0000001,DD903844,"[b'MHMT', None]"
108,"[b'MHMT', None]",98006,1.0000001,DD903844,"[b'MHMT', None]"
109,"[b'MHMT', None]",50117,1.0000001,DD903844,"[b'MHMT', None]"
110,"[b'MHMT', None]",38920,1.0000001,DD903844,"[b'MHMT', None]"
111,"[b'MHMT', None]",38554,1.0000001,DD903844,"[b'MHMT', None]"
112,"[b'MHMT', None]",33515,1.0000001,DD903844,"[b'MHMT', None]"
113,"[b'MHMT', None]",3640,1.0000001,DD903844,"[b'MHMT', None]"
114,"[b'MHMT', None]",2901,1.0000001,DD903844,"[b'MHMT', None]"
115,"[b'JTN', b'KTN']",55951,0.99999994,EE123461,"[b'JTN', b'KTN']"
116,"[b'RTNM', None]",3621669,0.61367714,JJ1234586,"[b'RTN', None]"
