,left_lastname_phone,left_UID,similarity,right_requestID,right_firstnamePhone
0,"[b'SPT', None]",3640,0.6270579,AA012347,"[b'SPTN', None]"
1,"[b'APTL', None]",3397779,0.99999994,DD903844,"[b'APTL', None]"
2,"[b'APTL', None]",3397776,0.99999994,DD903844,"[b'APTL', None]"
3,"[b'APTL', None]",3397775,0.99999994,DD903844,"[b'APTL', None]"
4,"[b'APTL', None]",2511424,0.99999994,DD903844,"[b'APTL', None]"
5,"[b'APTL', None]",962665,0.99999994,DD903844,"[b'APTL', None]"
6,"[b'APTL', None]",626452,0.99999994,DD903844,"[b'APTL', None]"
7,"[b'APTL', None]",541341,0.99999994,DD903844,"[b'APTL', None]"
8,"[b'APTL', None]",3397779,0.99999994,DD903845,"[b'APTL', None]"
9,"[b'APTL', None]",3397776,0.99999994,DD903845,"[b'APTL', None]"
10,"[b'APTL', None]",3397775,0.99999994,DD903845,"[b'APTL', None]"
11,"[b'APTL', None]",2511424,0.99999994,DD903845,"[b'APTL', None]"
12,"[b'APTL', None]",962665,0.99999994,DD903845,"[b'APTL', None]"
13,"[b'APTL', None]",626452,0.99999994,DD903845,"[b'APTL', None]"
14,"[b'APTL', None]",541341,0.99999994,DD903845,"[b'APTL', None]"
15,"[b'KN', None]",1445304,0.99999994,EE123461,"[b'KN', None]"
16,"[b'KN', None]",1344862,0.99999994,EE123461,"[b'KN', None]"
17,"[b'KN', None]",757171,0.99999994,EE123461,"[b'KN', None]"
18,"[b'KN', None]",55951,0.99999994,EE123461,"[b'KN', None]"
19,"[b'MHMT', None]",6507087,0.99999994,HH1234571,"[b'MHMT', None]"
20,"[b'MHMT', None]",6152003,0.99999994,HH1234571,"[b'MHMT', None]"
21,"[b'MHMT', None]",4892341,0.99999994,HH1234571,"[b'MHMT', None]"
22,"[b'MHMT', None]",3944901,0.99999994,HH1234571,"[b'MHMT', None]"
23,"[b'MHMT', None]",3752549,0.99999994,HH1234571,"[b'MHMT', None]"
24,"[b'MHMT', None]",3419833,0.99999994,HH1234571,"[b'MHMT', None]"
25,"[b'MHMT', None]",3398501,0.99999994,HH1234571,"[b'MHMT', None]"
26,"[b'MHMT', None]",3398500,0.99999994,HH1234571,"[b'MHMT', None]"
27,"[b'MHMT', None]",3087853,0.99999994,HH1234571,"[b'MHMT', None]"
28,"[b'MHMT', None]",1773420,0.99999994,HH1234571,"[b'MHMT', None]"
29,"[b'MHMT', None]",1551785,0.99999994,HH1234571,"[b'MHMT', None]"
30,"[b'MHMT', None]",1311163,0.99999994,HH1234571,"[b'MHMT', None]"
31,"[b'MHMT', None]",312141,0.99999994,HH1234571,"[b'MHMT', None]"
32,"[b'MHMT', None]",13684,0.99999994,HH1234571,"[b'MHMT', None]"
33,"[b'MHMT', None]",6507087,0.99999994,HH1234572,"[b'MHMT', None]"
34,"[b'MHMT', None]",6152003,0.99999994,HH1234572,"[b'MHMT', None]"
35,"[b'MHMT', None]",4892341,0.99999994,HH1234572,"[b'MHMT', None]"
36,"[b'MHMT', None]",3944901,0.99999994,HH1234572,"[b'MHMT', None]"
37,"[b'MHMT', None]",3752549,0.99999994,HH1234572,"[b'MHMT', None]"
38,"[b'MHMT', None]",3419833,0.99999994,HH1234572,"[b'MHMT', None]"
39,"[b'MHMT', None]",3398501,0.99999994,HH1234572,"[b'MHMT', None]"
40,"[b'MHMT', None]",3398500,0.99999994,HH1234572,"[b'MHMT', None]"
41,"[b'MHMT', None]",3087853,0.99999994,HH1234572,"[b'MHMT', None]"
42,"[b'MHMT', None]",1773420,0.99999994,HH1234572,"[b'MHMT', None]"
43,"[b'MHMT', None]",1551785,0.99999994,HH1234572,"[b'MHMT', None]"
44,"[b'MHMT', None]",1311163,0.99999994,HH1234572,"[b'MHMT', None]"
45,"[b'MHMT', None]",312141,0.99999994,HH1234572,"[b'MHMT', None]"
46,"[b'MHMT', None]",13684,0.99999994,HH1234572,"[b'MHMT', None]"
47,"[b'MHMT', None]",6507087,0.99999994,HH1234573,"[b'MHMT', None]"
48,"[b'MHMT', None]",6152003,0.99999994,HH1234573,"[b'MHMT', None]"
49,"[b'MHMT', None]",4892341,0.99999994,HH1234573,"[b'MHMT', None]"
50,"[b'MHMT', None]",3944901,0.99999994,HH1234573,"[b'MHMT', None]"
51,"[b'MHMT', None]",3752549,0.99999994,HH1234573,"[b'MHMT', None]"
52,"[b'MHMT', None]",3419833,0.99999994,HH1234573,"[b'MHMT', None]"
53,"[b'MHMT', None]",3398501,0.99999994,HH1234573,"[b'MHMT', None]"
54,"[b'MHMT', None]",3398500,0.99999994,HH1234573,"[b'MHMT', None]"
55,"[b'MHMT', None]",3087853,0.99999994,HH1234573,"[b'MHMT', None]"
56,"[b'MHMT', None]",1773420,0.99999994,HH1234573,"[b'MHMT', None]"
57,"[b'MHMT', None]",1551785,0.99999994,HH1234573,"[b'MHMT', None]"
58,"[b'MHMT', None]",1311163,0.99999994,HH1234573,"[b'MHMT', None]"
59,"[b'MHMT', None]",312141,0.99999994,HH1234573,"[b'MHMT', None]"
60,"[b'MHMT', None]",13684,0.99999994,HH1234573,"[b'MHMT', None]"
61,"[b'HMM', None]",164007,0.69864047,HH1234574,"[b'MHMM', None]"
62,"[b'ANTR', None]",6938655,1.0,JJ1234583,"[b'ANTR', None]"
63,"[b'ANTR', None]",6021381,1.0,JJ1234583,"[b'ANTR', None]"
64,"[b'ANTR', None]",6938655,1.0,JJ1234584,"[b'ANTR', None]"
65,"[b'ANTR', None]",6021381,1.0,JJ1234584,"[b'ANTR', None]"
66,"[b'ANTR', None]",6938655,1.0,JJ1234585,"[b'ANTR', None]"
67,"[b'ANTR', None]",6021381,1.0,JJ1234585,"[b'ANTR', None]"
68,"[b'ANTR', None]",6938655,1.0,JJ1234586,"[b'ANTR', None]"
69,"[b'ANTR', None]",6021381,1.0,JJ1234586,"[b'ANTR', None]"
70,"[b'ANTR', None]",6938655,1.0,JJ1234587,"[b'ANTR', None]"
71,"[b'ANTR', None]",6021381,1.0,JJ1234587,"[b'ANTR', None]"
72,"[b'MHMT', None]",6507087,0.99999994,KK1234588,"[b'MHMT', None]"
73,"[b'MHMT', None]",6152003,0.99999994,KK1234588,"[b'MHMT', None]"
74,"[b'MHMT', None]",4892341,0.99999994,KK1234588,"[b'MHMT', None]"
75,"[b'MHMT', None]",3944901,0.99999994,KK1234588,"[b'MHMT', None]"
76,"[b'MHMT', None]",3752549,0.99999994,KK1234588,"[b'MHMT', None]"
77,"[b'MHMT', None]",3419833,0.99999994,KK1234588,"[b'MHMT', None]"
78,"[b'MHMT', None]",3398501,0.99999994,KK1234588,"[b'MHMT', None]"
79,"[b'MHMT', None]",3398500,0.99999994,KK1234588,"[b'MHMT', None]"
80,"[b'MHMT', None]",3087853,0.99999994,KK1234588,"[b'MHMT', None]"
81,"[b'MHMT', None]",1773420,0.99999994,KK1234588,"[b'MHMT', None]"
82,"[b'MHMT', None]",1551785,0.99999994,KK1234588,"[b'MHMT', None]"
83,"[b'MHMT', None]",1311163,0.99999994,KK1234588,"[b'MHMT', None]"
84,"[b'MHMT', None]",312141,0.99999994,KK1234588,"[b'MHMT', None]"
85,"[b'MHMT', None]",13684,0.99999994,KK1234588,"[b'MHMT', None]"
86,"[b'MHMT', None]",6507087,0.99999994,KK1234589,"[b'MHMT', None]"
87,"[b'MHMT', None]",6152003,0.99999994,KK1234589,"[b'MHMT', None]"
88,"[b'MHMT', None]",4892341,0.99999994,KK1234589,"[b'MHMT', None]"
89,"[b'MHMT', None]",3944901,0.99999994,KK1234589,"[b'MHMT', None]"
90,"[b'MHMT', None]",3752549,0.99999994,KK1234589,"[b'MHMT', None]"
91,"[b'MHMT', None]",3419833,0.99999994,KK1234589,"[b'MHMT', None]"
92,"[b'MHMT', None]",3398501,0.99999994,KK1234589,"[b'MHMT', None]"
93,"[b'MHMT', None]",3398500,0.99999994,KK1234589,"[b'MHMT', None]"
94,"[b'MHMT', None]",3087853,0.99999994,KK1234589,"[b'MHMT', None]"
95,"[b'MHMT', None]",1773420,0.99999994,KK1234589,"[b'MHMT', None]"
96,"[b'MHMT', None]",1551785,0.99999994,KK1234589,"[b'MHMT', None]"
97,"[b'MHMT', None]",1311163,0.99999994,KK1234589,"[b'MHMT', None]"
98,"[b'MHMT', None]",312141,0.99999994,KK1234589,"[b'MHMT', None]"
99,"[b'MHMT', None]",13684,0.99999994,KK1234589,"[b'MHMT', None]"
100,"[b'MHMT', None]",6507087,0.99999994,KK1234590,"[b'MHMT', None]"
101,"[b'MHMT', None]",6152003,0.99999994,KK1234590,"[b'MHMT', None]"
102,"[b'MHMT', None]",4892341,0.99999994,KK1234590,"[b'MHMT', None]"
103,"[b'MHMT', None]",3944901,0.99999994,KK1234590,"[b'MHMT', None]"
104,"[b'MHMT', None]",3752549,0.99999994,KK1234590,"[b'MHMT', None]"
105,"[b'MHMT', None]",3419833,0.99999994,KK1234590,"[b'MHMT', None]"
106,"[b'MHMT', None]",3398501,0.99999994,KK1234590,"[b'MHMT', None]"
107,"[b'MHMT', None]",3398500,0.99999994,KK1234590,"[b'MHMT', None]"
108,"[b'MHMT', None]",3087853,0.99999994,KK1234590,"[b'MHMT', None]"
109,"[b'MHMT', None]",1773420,0.99999994,KK1234590,"[b'MHMT', None]"
110,"[b'MHMT', None]",1551785,0.99999994,KK1234590,"[b'MHMT', None]"
111,"[b'MHMT', None]",1311163,0.99999994,KK1234590,"[b'MHMT', None]"
112,"[b'MHMT', None]",312141,0.99999994,KK1234590,"[b'MHMT', None]"
113,"[b'MHMT', None]",13684,0.99999994,KK1234590,"[b'MHMT', None]"
114,"[b'AL', None]",5192418,1.0,PP1234606,"[b'AL', None]"
115,"[b'AL', None]",3397820,1.0,PP1234606,"[b'AL', None]"
116,"[b'AL', None]",3397819,1.0,PP1234606,"[b'AL', None]"
117,"[b'AL', None]",1657704,1.0,PP1234606,"[b'AL', None]"
118,"[b'AL', None]",13678,1.0,PP1234606,"[b'AL', None]"
119,"[b'AL', None]",5192418,1.0,PP1234607,"[b'AL', None]"
120,"[b'AL', None]",3397820,1.0,PP1234607,"[b'AL', None]"
121,"[b'AL', None]",3397819,1.0,PP1234607,"[b'AL', None]"
122,"[b'AL', None]",1657704,1.0,PP1234607,"[b'AL', None]"
123,"[b'AL', None]",13678,1.0,PP1234607,"[b'AL', None]"
124,"[b'AL', None]",5192418,1.0,PP1234608,"[b'AL', None]"
125,"[b'AL', None]",3397820,1.0,PP1234608,"[b'AL', None]"
126,"[b'AL', None]",3397819,1.0,PP1234608,"[b'AL', None]"
127,"[b'AL', None]",1657704,1.0,PP1234608,"[b'AL', None]"
128,"[b'AL', None]",13678,1.0,PP1234608,"[b'AL', None]"
